project_id,sprint_velocity,scope_changes,team_load,on_time
1,427.36,129.69,358.02,1
2,251.89,456.81,81.55,1
3,201.18,267.13,90.82,0
4,98.01,307.26,368.31,0
5,59.37,320.05,94.19,0
6,392.32,294.16,333.58,1
7,395.31,235.52,66.85,0
8,436.84,255.68,492.42,1
9,167.85,369.73,179.36,0
10,68.23,197.21,230.3,0
11,309.1,214.72,68.32,0
12,369.51,331.69,346.84,1
13,117.94,287.17,51.29,0
14,396.26,211.55,392.53,1
15,146.53,63.62,349.88,0
16,36.67,151.5,398.87,0
17,142.81,341.93,109.02,0
18,10.98,213.26,120.86,0
19,333.94,181.76,200.54,0
20,383.54,402.11,190.9,1
21,134.52,413.86,497.79,1
22,52.43,354.14,409.29,1
23,22.51,193.88,424.61,0
24,228.77,400.18,201.86,1
25,215.34,96.96,429.95,0
26,24.44,186.52,285.06,0
27,397.74,106.9,187.61,0
28,239.28,117.19,120.84,0
29,429.19,371.44,371.54,1
30,297.77,284.53,183.3,0
31,452.81,179.47,154.13,0
32,400.26,383.89,203.5,1
33,354.22,180.41,371.85,1
34,323.87,15.46,468.36,1
35,401.88,218.59,237.75,1
36,252.17,91.62,495.49,1
37,364.47,253.46,95.82,0
38,138.4,48.06,391.51,0
39,489.81,94.9,76.47,0
40,401.45,489.7,149.18,1
41,166.03,420.87,381.9,1
42,466.95,130.18,225.6,1
43,103.46,327.2,13.29,0
44,219.44,304.96,241.15,0
45,163.66,490.17,447.0,1
46,57.44,205.45,192.46,0
47,341.25,407.95,171.24,1
48,42.54,486.38,409.47,1
49,405.61,388.93,170.41,1
50,310.33,439.92,247.41,1
51,330.57,327.77,96.01,0
52,19.24,200.51,110.91,0
53,488.33,312.66,440.23,1
54,480.82,386.16,398.29,1
55,245.6,404.72,275.07,1
56,445.19,244.35,349.94,1
57,387.99,121.83,94.41,0
58,419.24,87.04,188.27,0
59,11.93,169.37,159.4,0
60,82.35,488.08,149.24,0
61,480.23,307.98,204.03,1
62,16.91,302.01,441.44,0
63,368.3,88.13,435.2,1
64,402.43,188.27,357.96,1
65,294.97,181.26,488.08,1
66,342.94,305.83,341.98,1
67,128.3,115.1,442.66,0
68,225.42,196.38,219.62,0
69,454.42,339.95,127.97,1
70,459.54,480.58,50.18,1
71,91.69,243.98,147.31,0
72,32.93,55.18,48.83,0
73,116.52,399.36,354.42,1
74,285.77,437.22,331.23,1
75,383.58,264.34,276.12,1
76,423.67,104.35,321.76,1
77,285.76,327.69,458.18,1
78,212.43,342.96,31.52,0
79,182.36,202.57,439.52,1
80,261.33,88.18,23.32,0
81,382.99,217.52,14.93,0
82,192.25,258.98,282.68,0
83,266.52,162.7,323.11,0
84,284.23,244.0,346.13,1
85,53.28,24.32,28.46,0
86,333.03,480.05,342.07,1
87,360.18,142.71,122.37,0
88,40.85,449.02,213.11,0
89,83.81,328.83,182.99,0
90,125.71,382.17,86.69,0
91,14.56,415.38,447.78,1
92,422.38,49.88,469.15,1
93,78.96,65.84,463.37,0
94,74.03,324.57,353.03,0
95,474.71,353.23,139.21,1
96,105.15,416.16,171.71,0
97,123.4,464.45,312.68,1
98,73.93,277.65,228.25,0
99,206.11,146.67,121.26,0
100,370.82,411.46,392.12,1
101,349.09,359.91,128.01,1
102,205.89,331.52,341.37,1
103,197.02,122.19,133.87,0
104,135.48,328.1,74.07,0
105,491.48,430.82,333.27,1
106,159.03,142.54,321.89,0
107,316.4,373.82,420.98,1
108,117.21,46.41,168.54,0
109,167.58,345.11,356.58,1
110,360.54,367.77,416.78,1
111,158.14,25.23,77.05,0
112,377.46,97.13,112.96,0
113,274.39,339.66,151.94,0
114,88.3,498.18,130.4,0
115,410.62,254.13,289.28,1
116,145.1,215.0,245.42,0
117,252.49,65.96,430.75,0
118,325.93,56.07,447.16,1
119,77.46,238.45,396.0,0
120,384.92,12.0,91.93,0
121,119.29,448.62,75.39,0
122,73.81,260.05,356.91,0
123,216.89,85.78,389.84,0
124,42.61,65.75,388.71,0
125,128.72,312.78,367.43,1
126,42.96,409.08,75.9,0
127,307.91,202.18,407.8,1
128,450.84,474.54,148.48,1
129,324.87,448.82,94.36,1
130,464.21,37.37,234.3,0
131,280.38,210.79,281.23,0
132,427.95,327.61,121.32,1
133,280.76,251.92,183.47,0
134,205.56,117.92,141.8,0
135,169.43,204.76,55.11,0
136,430.1,394.87,70.64,1
137,362.31,393.24,185.08,1
138,462.85,118.49,116.78,0
139,219.84,143.87,476.76,1
140,371.49,487.06,171.29,1
141,177.38,367.52,46.66,0
142,36.4,345.63,471.81,1
