project_id,start_date,end_date,duration_days,budget,spent_amount,complexity,team_size,scope_changes,quality_score,success
1,2020-05-10,2020-09-17,130,84980.77,97394.09,Medium,15,1,97.1,0
2,2020-11-10,2021-08-30,293,177159.51,146332.0,Low,6,1,60.8,1
3,2018-05-02,2018-07-23,82,62988.37,52695.18,Low,29,0,79.1,1
4,2019-04-12,2019-07-10,89,121591.11,138968.71,Low,22,1,87.5,1
5,2018-11-27,2019-04-13,137,707128.68,644157.28,Medium,29,2,88.9,1
6,2018-03-29,2018-05-02,34,557628.96,291635.86,Low,11,3,87.7,0
7,2020-05-21,2020-09-30,132,762415.21,868333.46,Medium,28,4,65.4,1
8,2018-05-11,2018-12-22,225,917507.46,618178.46,High,19,2,72.0,0
9,2020-02-09,2020-11-26,291,605892.06,547933.86,Low,15,2,74.3,1
10,2018-12-10,2019-02-24,76,739814.8,455621.84,High,22,2,92.2,1
11,2020-03-16,2021-02-19,340,769227.14,402856.11,High,27,0,71.2,0
12,2019-01-21,2019-12-24,337,408958.02,293644.63,Low,16,2,68.4,0
13,2020-08-13,2021-02-02,173,279030.59,291962.82,High,10,3,98.3,1
14,2018-10-04,2019-07-29,298,244793.06,169962.52,Medium,24,1,60.4,1
15,2019-04-05,2019-09-05,153,288870.32,188940.85,High,27,6,99.9,1
16,2018-01-22,2018-06-06,135,310995.21,201797.5,Medium,17,1,87.1,1
17,2018-09-10,2019-03-16,187,246866.27,212458.44,Medium,24,3,93.1,0
18,2020-01-18,2020-07-12,176,884309.63,1046031.22,Medium,20,1,71.8,1
19,2020-05-06,2020-10-27,174,769149.18,631696.29,High,22,1,60.6,1
20,2019-04-20,2019-09-16,149,94551.64,84161.72,Medium,14,3,89.5,1
21,2020-12-18,2021-12-01,348,305238.86,336508.27,Medium,27,3,93.4,0
22,2019-05-26,2020-03-25,304,71075.5,62158.99,High,12,3,89.6,0
23,2019-12-01,2020-03-31,121,523256.93,329193.5,Low,22,1,65.7,1
24,2020-09-02,2020-11-28,87,502400.16,356562.0,Low,25,6,90.1,0
25,2018-07-09,2019-03-24,258,839802.92,602101.61,Low,5,0,90.8,1
26,2020-08-15,2021-01-08,146,342388.38,266420.16,Low,27,1,86.3,1
27,2019-11-18,2020-10-30,347,825566.45,659423.05,Low,12,4,90.6,0
28,2020-08-15,2021-06-19,308,969575.08,1027601.64,High,10,0,93.8,0
29,2019-07-17,2019-12-20,156,133987.81,99763.42,Low,9,5,84.5,0
30,2020-04-11,2020-09-16,158,802226.95,664053.21,Medium,19,2,63.5,0
31,2019-10-09,2020-01-04,87,610458.1,572294.21,Low,26,1,79.5,1
32,2018-01-21,2018-06-21,151,506043.67,386823.91,High,19,0,63.1,0
33,2020-04-20,2020-05-20,30,449508.99,487984.88,High,6,0,76.3,1
34,2018-06-16,2019-03-11,268,795434.85,724814.17,Medium,5,4,76.3,0
35,2019-01-23,2019-12-08,319,657393.29,464008.74,High,27,2,62.6,1
36,2019-08-24,2019-12-27,125,814792.43,814663.24,Low,27,2,74.0,0
37,2018-11-12,2019-04-16,155,907993.51,789367.26,High,30,1,64.4,1
38,2018-01-14,2018-06-10,147,636400.53,556289.87,Low,15,0,92.3,1
39,2018-08-30,2018-11-15,77,981439.59,821230.93,High,14,2,97.9,0
40,2020-02-16,2020-06-13,118,627683.46,532218.06,Low,22,1,62.9,1
41,2019-07-19,2020-04-10,266,654812.11,678221.25,Medium,22,3,98.2,1
42,2020-06-16,2021-04-13,301,577074.83,330137.03,Medium,21,0,80.9,1
43,2018-04-02,2018-11-06,218,136451.99,100163.12,Low,30,1,72.0,1
44,2020-08-13,2021-03-22,221,740077.18,409153.41,Low,12,1,63.1,1
45,2019-05-24,2019-08-30,98,570073.99,585621.25,Low,19,4,80.0,1
46,2020-02-15,2020-12-18,307,478364.93,330364.23,Low,12,3,91.8,0
47,2018-02-04,2018-11-07,276,914947.71,1032245.18,Medium,21,2,88.3,1
48,2018-07-25,2018-11-07,105,333061.48,289298.84,Low,16,2,62.0,0
49,2020-10-22,2021-04-23,183,547422.16,580554.8,Low,12,2,62.9,0
50,2020-10-18,2021-04-09,173,712759.78,844799.96,Low,29,2,76.1,1
51,2019-07-20,2019-11-12,115,806648.19,877514.01,High,18,2,71.8,0
52,2019-12-04,2020-07-05,214,486379.47,538371.31,Low,8,1,69.3,1
53,2019-02-06,2019-12-17,314,849986.84,667740.44,Low,5,0,71.2,0
54,2019-12-31,2020-09-05,249,780471.85,691658.69,Low,5,4,92.1,1
55,2018-06-11,2018-09-17,98,112924.18,76531.2,Medium,23,0,97.2,1
56,2018-07-21,2018-10-05,76,93568.2,59629.06,High,20,3,76.2,0
57,2020-09-22,2021-01-23,123,639765.4,546267.22,Low,18,1,96.2,0
58,2018-09-27,2019-06-21,267,380042.74,348322.2,Low,25,2,72.9,0
59,2020-03-26,2020-11-14,233,248674.25,183394.74,Medium,20,2,79.1,1
60,2019-04-01,2019-12-04,247,600667.44,539766.05,Medium,9,5,69.0,0
61,2020-10-13,2020-12-20,68,374485.05,419881.0,Low,13,1,85.6,1
62,2018-10-23,2019-03-01,129,560400.25,498590.97,Medium,30,1,99.2,1
